XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/restconf,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/restconf,NULL,http-enabled,False,True,bool,False
ioa-network-element:ne/system/protocols/restconf,NULL,https-enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/restconf,NULL,http-port,False,True,unknown,8080
ioa-network-element:ne/system/protocols/restconf,NULL,https-port,False,True,unknown,8181
ioa-network-element:ne/system/protocols/restconf,NULL,cookie-timeout,False,True,int,5
ioa-network-element:ne/system/protocols/restconf,NULL,api-root,False,False,str,unknown
