XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/serial-console,NULL,global-switch,False,True,unknown,enabled
ioa-network-element:ne/system/protocols/serial-console,NULL,global-timeout,False,True,int,60
