XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/grpc,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/grpc,NULL,port,False,True,unknown,50051
ioa-network-element:ne/system/protocols/grpc,NULL,gnmi-get-encoding-granularity,False,True,str,per-object
