XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/http-file-server,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/http-file-server,NULL,http-enabled,False,True,bool,False
ioa-network-element:ne/system/protocols/http-file-server,NULL,https-enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/http-file-server,NULL,http-port,False,True,unknown,8980
ioa-network-element:ne/system/protocols/http-file-server,NULL,https-port,False,True,unknown,8981
ioa-network-element:ne/system/protocols/http-file-server,NULL,url-base,False,False,str,/transfer
