XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/topology/icdp,NULL,global-switch,False,True,bool,True
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,local-carrier,True,True,str,unknown
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,local-carrier-id,False,True,str,unknown
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,ne-id,False,True,str,unknown
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,ne-type,False,True,str,unknown
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,remote-carrier-id,False,True,str,unknown
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,ipv4-loopback-address,False,True,str,unknown
ioa-network-element:ne/topology/icdp/carrier-neighbor,NULL,ipv6-loopback-address,False,True,str,unknown
