XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/security/certificates/trusted-certificate,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/security/certificates/trusted-certificate,NULL,label,False,True,str,unknown
ioa-network-element:ne/system/security/certificates/local-certificate,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/security/certificates/local-certificate,NULL,label,False,True,str,unknown
ioa-network-element:ne/system/security/certificates/local-certificate,NULL,self-signed,False,False,bool,False
ioa-network-element:ne/system/security/certificates/peer-certificate,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/security/certificates/peer-certificate,NULL,label,False,True,str,unknown
ioa-network-element:ne/system/security/certificates/peer-certificate,NULL,white-listed,False,False,bool,False
