XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/fast-telemetry,NULL,enabled,False,True,bool,False
ioa-network-element:ne/system/protocols/fast-telemetry,NULL,protocol,False,True,str,gnmi-openconfig
ioa-network-element:ne/system/protocols/fast-telemetry,NULL,port,False,True,unknown,57400
